delivery_id,match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder,extras_type
125,1,2,Mumbai Indians,Chennai Super Kings,5,1,Batsman_119,Batsman_129,Bowler_66,0,0,0,Batsman_119,caught,Batsman_43,
126,1,2,Mumbai Indians,Chennai Super Kings,5,2,Batsman_36,Batsman_115,Bowler_21,0,0,0,,,,
127,1,2,Mumbai Indians,Chennai Super Kings,5,3,Batsman_124,Batsman_92,Bowler_6,0,0,0,Batsman_124,lbw,,
128,1,2,Mumbai Indians,Chennai Super Kings,5,4,Batsman_53,Batsman_133,Bowler_47,1,0,1,,,,
129,1,2,Mumbai Indians,Chennai Super Kings,6,1,Batsman_27,Batsman_134,Bowler_82,4,0,4,,,,
130,1,2,Mumbai Indians,Chennai Super Kings,6,2,Batsman_45,Batsman_97,Bowler_84,1,0,1,,,,
131,1,2,Mumbai Indians,Chennai Super Kings,6,3,Batsman_65,Batsman_97,Bowler_29,1,0,1,,,,
132,1,2,Mumbai Indians,Chennai Super Kings,6,4,Batsman_124,Batsman_2,Bowler_65,4,0,4,,,,
133,1,2,Mumbai Indians,Chennai Super Kings,6,5,Batsman_72,Batsman_55,Bowler_20,0,0,0,,,,
134,1,2,Mumbai Indians,Chennai Super Kings,6,6,Batsman_59,Batsman_107,Bowler_43,3,0,3,,,,
135,1,2,Mumbai Indians,Chennai Super Kings,7,1,Batsman_42,Batsman_106,Bowler_3,0,0,0,,,,
136,1,2,Mumbai Indians,Chennai Super Kings,7,2,Batsman_132,Batsman_11,Bowler_74,0,0,0,,,,
137,1,2,Mumbai Indians,Chennai Super Kings,7,3,Batsman_104,Batsman_145,Bowler_82,0,0,0,,,,
138,1,2,Mumbai Indians,Chennai Super Kings,7,4,Batsman_22,Batsman_56,Bowler_58,2,0,2,,,,
139,1,2,Mumbai Indians,Chennai Super Kings,7,5,Batsman_106,Batsman_37,Bowler_75,4,0,4,,,,
140,1,2,Mumbai Indians,Chennai Super Kings,7,6,Batsman_88,Batsman_117,Bowler_77,2,0,2,,,,
141,1,2,Mumbai Indians,Chennai Super Kings,8,1,Batsman_52,Batsman_134,Bowler_65,2,0,2,,,,
142,1,2,Mumbai Indians,Chennai Super Kings,8,2,Batsman_10,Batsman_137,Bowler_65,3,0,3,,,,
143,1,2,Mumbai Indians,Chennai Super Kings,8,3,Batsman_139,Batsman_1,Bowler_100,2,0,2,,,,
144,1,2,Mumbai Indians,Chennai Super Kings,8,4,Batsman_136,Batsman_110,Bowler_30,6,0,6,,,,
145,1,2,Mumbai Indians,Chennai Super Kings,8,5,Batsman_148,Batsman_26,Bowler_55,0,0,0,,,,
146,1,2,Mumbai Indians,Chennai Super Kings,8,6,Batsman_73,Batsman_140,Bowler_53,0,1,1,,,,wides
147,1,2,Mumbai Indians,Chennai Super Kings,9,1,Batsman_53,Batsman_81,Bowler_53,1,0,1,,,,
148,1,2,Mumbai Indians,Chennai Super Kings,9,2,Batsman_138,Batsman_109,Bowler_73,1,0,1,,,,
149,1,2,Mumbai Indians,Chennai Super Kings,9,3,Batsman_106,Batsman_142,Bowler_72,1,0,1,,,,
150,1,2,Mumbai Indians,Chennai Super Kings,9,4,Batsman_79,Batsman_148,Bowler_45,3,0,3,,,,
151,1,2,Mumbai Indians,Chennai Super Kings,9,5,Batsman_31,Batsman_59,Bowler_58,3,0,3,,,,
152,1,2,Mumbai Indians,Chennai Super Kings,9,6,Batsman_87,Batsman_141,Bowler_79,2,0,2,,,,
153,1,2,Mumbai Indians,Chennai Super Kings,10,1,Batsman_2,Batsman_24,Bowler_19,1,0,1,,,,
154,1,2,Mumbai Indians,Chennai Super Kings,10,2,Batsman_95,Batsman_21,Bowler_78,0,0,0,,,,
155,1,2,Mumbai Indians,Chennai Super Kings,10,3,Batsman_134,Batsman_74,Bowler_92,6,4,10,,,,byes
156,1,2,Mumbai Indians,Chennai Super Kings,10,4,Batsman_133,Batsman_74,Bowler_25,0,0,0,,,,
157,1,2,Mumbai Indians,Chennai Super Kings,10,5,Batsman_44,Batsman_10,Bowler_47,0,1,1,,,,byes
158,1,2,Mumbai Indians,Chennai Super Kings,10,6,Batsman_91,Batsman_102,Bowler_52,2,0,2,,,,
159,1,2,Mumbai Indians,Chennai Super Kings,11,1,Batsman_24,Batsman_141,Bowler_37,3,0,3,,,,
160,1,2,Mumbai Indians,Chennai Super Kings,11,2,Batsman_71,Batsman_58,Bowler_78,6,0,6,,,,
161,1,2,Mumbai Indians,Chennai Super Kings,12,1,Batsman_130,Batsman_28,Bowler_72,0,0,0,,,,
162,1,2,Mumbai Indians,Chennai Super Kings,12,2,Batsman_66,Batsman_138,Bowler_74,0,0,0,,,,
163,1,2,Mumbai Indians,Chennai Super Kings,12,3,Batsman_63,Batsman_87,Bowler_100,1,0,1,,,,
164,1,2,Mumbai Indians,Chennai Super Kings,13,1,Batsman_18,Batsman_98,Bowler_82,3,0,3,,,,
165,1,2,Mumbai Indians,Chennai Super Kings,13,2,Batsman_106,Batsman_91,Bowler_67,1,0,1,,,,
166,1,2,Mumbai Indians,Chennai Super Kings,13,3,Batsman_103,Batsman_88,Bowler_10,2,0,2,,,,
167,1,2,Mumbai Indians,Chennai Super Kings,13,4,Batsman_147,Batsman_69,Bowler_24,6,0,6,,,,
168,1,2,Mumbai Indians,Chennai Super Kings,13,5,Batsman_52,Batsman_61,Bowler_95,0,0,0,,,,
169,1,2,Mumbai Indians,Chennai Super Kings,13,6,Batsman_92,Batsman_40,Bowler_100,0,0,0,,,,
170,1,2,Mumbai Indians,Chennai Super Kings,14,1,Batsman_2,Batsman_139,Bowler_6,4,0,4,,,,
171,1,2,Mumbai Indians,Chennai Super Kings,14,2,Batsman_148,Batsman_71,Bowler_63,0,0,0,,,,
172,1,2,Mumbai Indians,Chennai Super Kings,14,3,Batsman_148,Batsman_33,Bowler_7,1,0,1,,,,
173,1,2,Mumbai Indians,Chennai Super Kings,15,1,Batsman_45,Batsman_118,Bowler_16,2,0,2,,,,
174,1,2,Mumbai Indians,Chennai Super Kings,16,1,Batsman_149,Batsman_26,Bowler_42,1,0,1,,,,
175,1,2,Mumbai Indians,Chennai Super Kings,16,2,Batsman_69,Batsman_121,Bowler_79,0,0,0,,,,
176,1,2,Mumbai Indians,Chennai Super Kings,16,3,Batsman_96,Batsman_94,Bowler_52,0,0,0,,,,
177,1,2,Mumbai Indians,Chennai Super Kings,16,4,Batsman_59,Batsman_26,Bowler_93,0,0,0,,,,
178,1,2,Mumbai Indians,Chennai Super Kings,16,5,Batsman_38,Batsman_39,Bowler_61,4,0,4,,,,
179,1,2,Mumbai Indians,Chennai Super Kings,16,6,Batsman_133,Batsman_137,Bowler_93,0,0,0,,,,
180,1,2,Mumbai Indians,Chennai Super Kings,17,1,Batsman_13,Batsman_102,Bowler_13,2,4,6,,,,legbyes
181,1,2,Mumbai Indians,Chennai Super Kings,17,2,Batsman_86,Batsman_67,Bowler_47,1,0,1,,,,
182,1,2,Mumbai Indians,Chennai Super Kings,17,3,Batsman_106,Batsman_32,Bowler_45,4,0,4,,,,
183,1,2,Mumbai Indians,Chennai Super Kings,17,4,Batsman_138,Batsman_45,Bowler_100,0,0,0,,,,
184,1,2,Mumbai Indians,Chennai Super Kings,17,5,Batsman_115,Batsman_21,Bowler_49,2,0,2,,,,
185,1,2,Mumbai Indians,Chennai Super Kings,17,6,Batsman_87,Batsman_108,Bowler_81,2,0,2,,,,
186,1,2,Mumbai Indians,Chennai Super Kings,18,1,Batsman_88,Batsman_59,Bowler_41,0,0,0,,,,
187,1,2,Mumbai Indians,Chennai Super Kings,18,2,Batsman_70,Batsman_114,Bowler_100,4,0,4,,,,
188,1,2,Mumbai Indians,Chennai Super Kings,18,3,Batsman_106,Batsman_43,Bowler_24,4,0,4,,,,
189,1,2,Mumbai Indians,Chennai Super Kings,18,4,Batsman_21,Batsman_54,Bowler_22,1,0,1,,,,
190,1,2,Mumbai Indians,Chennai Super Kings,18,5,Batsman_14,Batsman_7,Bowler_99,1,0,1,,,,
191,1,2,Mumbai Indians,Chennai Super Kings,18,6,Batsman_40,Batsman_22,Bowler_84,6,0,6,,,,
192,1,2,Mumbai Indians,Chennai Super Kings,19,1,Batsman_114,Batsman_33,Bowler_17,1,0,1,Batsman_114,lbw,,
193,1,2,Mumbai Indians,Chennai Super Kings,19,2,Batsman_84,Batsman_122,Bowler_60,6,0,6,,,,
194,1,2,Mumbai Indians,Chennai Super Kings,19,3,Batsman_139,Batsman_46,Bowler_76,2,0,2,,,,
195,1,2,Mumbai Indians,Chennai Super Kings,19,4,Batsman_135,Batsman_137,Bowler_40,4,0,4,,,,
196,1,2,Mumbai Indians,Chennai Super Kings,19,5,Batsman_79,Batsman_94,Bowler_53,0,0,0,Batsman_79,caught,Batsman_89,
197,1,2,Mumbai Indians,Chennai Super Kings,19,6,Batsman_137,Batsman_3,Bowler_89,6,0,6,,,,
198,2,1,Lucknow Super Giants,Rajasthan Royals,1,1,Batsman_75,Batsman_60,Bowler_1,1,0,1,,,,
199,2,1,Lucknow Super Giants,Rajasthan Royals,1,2,Batsman_64,Batsman_42,Bowler_92,3,0,3,,,,
200,2,1,Lucknow Super Giants,Rajasthan Royals,1,3,Batsman_109,Batsman_62,Bowler_67,3,0,3,,,,
201,2,1,Lucknow Super Giants,Rajasthan Royals,1,4,Batsman_73,Batsman_137,Bowler_35,1,0,1,,,,
202,2,1,Lucknow Super Giants,Rajasthan Royals,1,5,Batsman_117,Batsman_116,Bowler_35,3,0,3,,,,
203,2,1,Lucknow Super Giants,Rajasthan Royals,1,6,Batsman_137,Batsman_6,Bowler_24,6,0,6,,,,
204,2,1,Lucknow Super Giants,Rajasthan Royals,2,1,Batsman_3,Batsman_60,Bowler_12,0,0,0,,,,
205,2,1,Lucknow Super Giants,Rajasthan Royals,2,2,Batsman_128,Batsman_96,Bowler_60,2,2,4,Batsman_128,run out,Batsman_19,wides
206,2,1,Lucknow Super Giants,Rajasthan Royals,2,3,Batsman_47,Batsman_50,Bowler_33,4,0,4,,,,
207,2,1,Lucknow Super Giants,Rajasthan Royals,2,4,Batsman_64,Batsman_99,Bowler_99,6,0,6,,,,
208,2,1,Lucknow Super Giants,Rajasthan Royals,2,5,Batsman_25,Batsman_134,Bowler_86,6,0,6,,,,
209,2,1,Lucknow Super Giants,Rajasthan Royals,2,6,Batsman_83,Batsman_41,Bowler_81,3,0,3,,,,
210,2,1,Lucknow Super Giants,Rajasthan Royals,3,1,Batsman_124,Batsman_77,Bowler_26,1,1,2,,,,byes
211,2,1,Lucknow Super Giants,Rajasthan Royals,3,2,Batsman_4,Batsman_43,Bowler_36,2,0,2,,,,
212,2,1,Lucknow Super Giants,Rajasthan Royals,3,3,Batsman_149,Batsman_122,Bowler_89,2,0,2,,,,
213,2,1,Lucknow Super Giants,Rajasthan Royals,3,4,Batsman_24,Batsman_87,Bowler_98,2,1,3,,,,byes
214,2,1,Lucknow Super Giants,Rajasthan Royals,3,5,Batsman_143,Batsman_89,Bowler_57,3,3,6,,,,noballs
215,2,1,Lucknow Super Giants,Rajasthan Royals,3,6,Batsman_11,Batsman_125,Bowler_91,1,0,1,,,,
216,2,1,Lucknow Super Giants,Rajasthan Royals,4,1,Batsman_48,Batsman_140,Bowler_45,0,0,0,,,,
217,2,1,Lucknow Super Giants,Rajasthan Royals,4,2,Batsman_142,Batsman_42,Bowler_9,1,0,1,,,,
218,2,1,Lucknow Super Giants,Rajasthan Royals,4,3,Batsman_117,Batsman_1,Bowler_100,2,0,2,,,,
219,2,1,Lucknow Super Giants,Rajasthan Royals,5,1,Batsman_62,Batsman_83,Bowler_93,0,0,0,,,,
220,2,1,Lucknow Super Giants,Rajasthan Royals,5,2,Batsman_128,Batsman_142,Bowler_20,2,0,2,,,,
221,2,1,Lucknow Super Giants,Rajasthan Royals,5,3,Batsman_134,Batsman_18,Bowler_6,4,0,4,,,,
222,2,1,Lucknow Super Giants,Rajasthan Royals,5,4,Batsman_125,Batsman_50,Bowler_13,0,0,0,,,,
223,2,1,Lucknow Super Giants,Rajasthan Royals,5,5,Batsman_66,Batsman_13,Bowler_47,0,0,0,Batsman_66,caught,Batsman_126,
224,2,1,Lucknow Super Giants,Rajasthan Royals,5,6,Batsman_21,Batsman_120,Bowler_82,0,0,0,,,,
